DATE,OUVERTURE_1,FERMETURE_1
2021-07-05,,
2021-07-05,05:45:00,09:45:00
2021-07-05,18:10:00,22:10:00
2021-07-06,,
2021-07-06,06:40:00,10:40:00
2021-07-06,19:10:00,23:10:00
2021-07-07,,
2021-07-07,07:40:00,11:40:00
2021-07-07,19:50:00,23:50:00
2021-07-08,,
2021-07-08,08:20:00,12:20:00
2021-07-08,20:25:00,
2021-07-09,,00:25:00
2021-07-09,08:55:00,12:55:00
2021-07-09,21:00:00,
2021-07-10,,01:00:00
2021-07-10,09:30:00,13:30:00
2021-07-10,21:35:00,
2021-07-11,,01:35:00
2021-07-11,10:05:00,14:05:00
2021-07-11,22:10:00,
2021-07-12,,02:10:00
2021-07-12,10:45:00,14:45:00
2021-07-12,22:50:00,
2021-07-13,,02:50:00
2021-07-13,11:20:00,15:20:00
2021-07-13,23:30:00,
2021-07-14,,03:30:00
2021-07-14,12:00:00,16:00:00
2021-07-14,,
2021-07-15,00:10:00,04:10:00
2021-07-15,12:45:00,16:45:00
2021-07-15,,
2021-07-16,00:55:00,04:55:00
2021-07-16,13:35:00,17:35:00
2021-07-16,,
2021-07-17,01:45:00,05:45:00
2021-07-17,14:30:00,18:30:00
2021-07-17,,
2021-07-18,,
2021-07-18,02:45:00,06:45:00
2021-07-18,15:35:00,19:35:00
2021-07-19,,
2021-07-19,04:00:00,08:00:00
2021-07-19,16:50:00,20:50:00
2021-07-20,,
2021-07-20,05:20:00,09:20:00
2021-07-20,18:00:00,22:00:00
2021-07-21,,
2021-07-21,06:35:00,10:35:00
2021-07-21,19:05:00,23:05:00
2021-07-22,,
2021-07-22,07:40:00,11:40:00
2021-07-22,20:00:00,00:00:00
2021-07-23,,
2021-07-23,08:30:00,12:30:00
2021-07-23,20:45:00,
2021-07-24,,00:45:00
2021-07-24,09:15:00,13:15:00
2021-07-24,21:30:00,
2021-07-25,,01:30:00
2021-07-25,10:00:00,14:00:00
2021-07-25,22:10:00,
2021-07-26,,02:10:00
2021-07-26,10:45:00,14:45:00
2021-07-26,22:55:00,
2021-07-27,,02:55:00
2021-07-27,11:25:00,15:25:00
2021-07-27,23:40:00,
2021-07-28,,03:40:00
2021-07-28,12:10:00,16:10:00
2021-07-28,,
2021-07-29,00:20:00,04:20:00
2021-07-29,12:50:00,16:50:00
2021-07-29,,
2021-07-30,01:05:00,05:05:00
2021-07-30,13:35:00,17:35:00
2021-07-30,,
2021-07-31,01:50:00,05:50:00
2021-07-31,14:00:00,18:00:00
2021-07-31,,
2021-08-01,02:20:00,06:20:00
2021-08-01,14:55:00,18:55:00
2021-08-01,,
2021-08-02,,
2021-08-02,03:25:00,06:25:00
2021-08-02,16:05:00,19:05:00
2021-08-03,,
2021-08-03,04:50:00,07:50:00
2021-08-03,17:20:00,20:20:00
2021-08-04,,
2021-08-04,06:05:00,10:05:00
2021-08-04,18:25:00,22:25:00
2021-08-05,,
2021-08-05,07:05:00,11:05:00
2021-08-05,19:15:00,23:15:00
2021-08-06,,
2021-08-06,08:00:00,12:00:00
2021-08-06,20:05:00,
2021-08-07,,00:05:00
2021-08-07,08:35:00,12:35:00
2021-08-07,20:40:00,
2021-08-08,,00:40:00
2021-08-08,09:10:00,13:10:00
2021-08-08,21:20:00,
2021-08-09,,01:20:00
2021-08-09,09:45:00,13:45:00
2021-08-09,21:55:00,
2021-08-10,,01:55:00
2021-08-10,10:20:00,14:20:00
2021-08-10,22:30:00,
2021-08-11,,02:30:00
2021-08-11,11:00:00,15:00:00
2021-08-11,23:05:00,
2021-08-12,,03:05:00
2021-08-12,11:35:00,15:35:00
2021-08-12,23:45:00,
2021-08-13,,03:45:00
2021-08-13,12:20:00,16:20:00
2021-08-13,,
2021-08-14,00:30:00,04:30:00
2021-08-14,13:05:00,17:05:00
2021-08-14,,
2021-08-15,01:20:00,05:20:00
2021-08-15,13:55:00,17:55:00
2021-08-15,,
2021-08-16,02:20:00,06:20:00
2021-08-16,15:00:00,19:00:00
2021-08-16,,
2021-08-17,,
2021-08-17,03:35:00,07:35:00
2021-08-17,16:10:00,20:10:00
2021-08-18,,
2021-08-18,05:05:00,09:05:00
2021-08-18,17:40:00,21:40:00
2021-08-19,,
2021-08-19,06:45:00,10:45:00
2021-08-19,19:05:00,23:05:00
2021-08-20,,
2021-08-20,07:45:00,11:45:00
2021-08-20,19:55:00,23:55:00
2021-08-21,,
2021-08-21,08:25:00,12:25:00
2021-08-21,20:35:00,
2021-08-22,,00:35:00
2021-08-22,09:00:00,13:00:00
2021-08-22,21:15:00,
2021-08-23,,01:15:00
2021-08-23,09:40:00,13:40:00
2021-08-23,21:50:00,
2021-08-24,,01:50:00
2021-08-24,10:20:00,14:20:00
2021-08-24,22:30:00,
2021-08-25,,02:30:00
2021-08-25,10:55:00,14:55:00
2021-08-25,23:10:00,
2021-08-26,,03:10:00
2021-08-26,11:35:00,15:35:00
2021-08-26,23:45:00,
2021-08-27,,03:45:00
2021-08-27,12:10:00,16:10:00
2021-08-27,,
2021-08-28,00:25:00,04:25:00
2021-08-28,12:45:00,16:45:00
2021-08-28,,
2021-08-29,01:00:00,05:00:00
2021-08-29,13:20:00,17:20:00
2021-08-29,,
2021-08-30,01:25:00,05:25:00
2021-08-30,13:50:00,17:50:00
2021-08-30,,
2021-08-31,02:20:00,05:20:00
2021-08-31,14:50:00,17:50:00
2021-08-31,,
2021-09-01,,
2021-09-01,03:50:00,06:50:00
2021-09-01,16:25:00,19:25:00
2021-09-02,,
2021-09-02,05:30:00,08:30:00
2021-09-02,17:50:00,20:50:00
2021-09-03,,
2021-09-03,06:40:00,10:40:00
2021-09-03,18:50:00,22:50:00
2021-09-04,,
2021-09-04,07:45:00,11:45:00
2021-09-04,19:45:00,23:45:00
2021-09-05,,
2021-09-05,08:15:00,12:15:00
2021-09-05,20:20:00,
2021-09-06,,00:20:00
2021-09-06,08:45:00,12:45:00
2021-09-06,20:55:00,
2021-09-07,,00:55:00
2021-09-07,09:20:00,13:20:00
2021-09-07,21:30:00,
2021-09-08,,01:30:00
2021-09-08,09:55:00,13:55:00
2021-09-08,22:05:00,
2021-09-09,,02:05:00
2021-09-09,10:30:00,14:30:00
2021-09-09,22:40:00,
2021-09-10,,02:40:00
2021-09-10,11:10:00,15:10:00
2021-09-10,23:25:00,
2021-09-11,,03:25:00
2021-09-11,11:50:00,15:50:00
2021-09-11,,
2021-09-12,00:05:00,04:05:00
2021-09-12,12:35:00,16:35:00
2021-09-12,,
2021-09-13,01:00:00,05:00:00
2021-09-13,13:30:00,17:30:00
2021-09-13,,
2021-09-14,02:00:00,06:00:00
2021-09-14,14:40:00,18:40:00
2021-09-14,,
2021-09-15,,
2021-09-15,03:15:00,07:15:00
2021-09-15,15:55:00,19:55:00
2021-09-16,,
2021-09-16,05:10:00,09:10:00
2021-09-16,17:35:00,21:35:00
2021-09-17,,
2021-09-17,06:50:00,10:50:00
2021-09-17,18:55:00,22:55:00
2021-09-18,,
2021-09-18,07:40:00,11:40:00
2021-09-18,19:40:00,23:40:00
2021-09-19,,
2021-09-19,08:10:00,12:10:00
2021-09-19,20:15:00,
2021-09-20,,00:15:00
2021-09-20,08:40:00,12:40:00
